idx	wavile	kind	segment	sentenceidx	wordidx	phonemeidx	timemeg	timeds	timechapter	timesentence	duration
1	segments/	silence					28.772	28.772	0.0		1.188
2	segments/	word	A	0.0	0.0		30.086	30.084	1.298	0.11	0.1
3	segments/	phoneme	ah_S	0.0	0.0	0.0	30.086	30.084	1.298	0.11	0.1
4	segments/	word	Study	0.0	1.0		30.186	30.184	1.398	0.21	0.37
5	segments/	phoneme	s_B	0.0	1.0	0.0	30.186	30.184	1.398	0.21	0.08
6	segments/	phoneme	t_I	0.0	1.0	1.0	30.266	30.264	1.478	0.29	0.08
7	segments/	phoneme	ah_I	0.0	1.0	2.0	30.346	30.344	1.5579999999999998	0.37	0.08
8	segments/	phoneme	d_I	0.0	1.0	3.0	30.426	30.424	1.638	0.45	0.06
9	segments/	phoneme	iy_E	0.0	1.0	4.0	30.486	30.484	1.698	0.51	0.07
10	segments/	word	in	0.0	2.0		30.555999999999997	30.556	1.7679999999999998	0.58	0.14
11	segments/	phoneme	ih_B	0.0	2.0	0.0	30.555999999999997	30.556	1.7679999999999998	0.58	0.05
12	segments/	phoneme	n_E	0.0	2.0	1.0	30.605999999999998	30.604	1.818	0.63	0.09
13	segments/	word	Scarlet	0.0	3.0		30.695999999999998	30.696	1.908	0.72	0.59
14	segments/	phoneme	s_B	0.0	3.0	0.0	30.695999999999998	30.696	1.908	0.72	0.09
15	segments/	phoneme	k_I	0.0	3.0	1.0	30.785999999999998	30.784	1.9979999999999998	0.8099999999999999	0.07
16	segments/	phoneme	aa_I	0.0	3.0	2.0	30.855999999999998	30.856	2.0679999999999996	0.8799999999999999	0.11
17	segments/	phoneme	r_I	0.0	3.0	3.0	30.965999999999998	30.964	2.178	0.9899999999999999	0.01
18	segments/	phoneme	l_I	0.0	3.0	4.0	30.976	30.976	2.1879999999999997	0.9999999999999999	0.05
19	segments/	phoneme	ah_I	0.0	3.0	5.0	31.026	31.024	2.2379999999999995	1.0499999999999998	0.07
20	segments/	phoneme	t_E	0.0	3.0	6.0	31.096	31.096	2.308	1.1199999999999999	0.19
21	segments/	word	by	0.0	4.0		31.465999999999998	31.464	2.678	1.49	0.36
22	segments/	phoneme	b_B	0.0	4.0	0.0	31.465999999999998	31.464	2.678	1.49	0.14
23	segments/	phoneme	ay_E	0.0	4.0	1.0	31.605999999999998	31.604	2.8179999999999996	1.63	0.22
24	segments/	word	Sir	0.0	5.0		31.836	31.836	3.048	1.86	0.21
25	segments/	phoneme	s_B	0.0	5.0	0.0	31.836	31.836	3.048	1.86	0.12
26	segments/	phoneme	er_E	0.0	5.0	1.0	31.956	31.956	3.168	1.98	0.09
27	segments/	word	Arthur	0.0	6.0		32.056	32.056	3.268	2.08	0.33
28	segments/	phoneme	aa_B	0.0	6.0	0.0	32.056	32.056	3.268	2.08	0.13
29	segments/	phoneme	r_I	0.0	6.0	1.0	32.186	32.184	3.3979999999999997	2.21	0.02
30	segments/	phoneme	th_I	0.0	6.0	2.0	32.205999999999996	32.204	3.418	2.23	0.11
31	segments/	phoneme	er_E	0.0	6.0	3.0	32.316	32.316	3.5279999999999996	2.34	0.07
32	segments/	word	Conan	0.0	7.0		32.385999999999996	32.384	3.598	2.41	0.37
33	segments/	phoneme	k_B	0.0	7.0	0.0	32.385999999999996	32.384	3.598	2.41	0.1
34	segments/	phoneme	ow_I	0.0	7.0	1.0	32.486	32.484	3.6980000000000004	2.5100000000000002	0.1
35	segments/	phoneme	n_I	0.0	7.0	2.0	32.586	32.584	3.798	2.6100000000000003	0.04
36	segments/	phoneme	ah_I	0.0	7.0	3.0	32.626	32.624	3.838	2.6500000000000004	0.05
37	segments/	phoneme	n_E	0.0	7.0	4.0	32.676	32.676	3.888	2.7	0.08
38	segments/	word	Doyle	0.0	8.0		32.756	32.756	3.968	2.78	0.2
39	segments/	phoneme	d_B	0.0	8.0	0.0	32.756	32.756	3.968	2.78	0.08
40	segments/	phoneme	oy_I	0.0	8.0	1.0	32.836	32.836	4.048	2.86	0.11
41	segments/	phoneme	l_E	0.0	8.0	2.0	32.946	32.944	4.1579999999999995	2.9699999999999998	0.01
42	segments/	silence					33.128	33.128	4.324		0.616
43	segments/	word	This	1.0	0.0		33.882000000000005	33.884	5.069999999999999	0.13	0.09
44	segments/	phoneme	dh_B	1.0	0.0	0.0	33.882000000000005	33.884	5.069999999999999	0.13	0.01
45	segments/	phoneme	ih_I	1.0	0.0	1.0	33.892	33.892	5.079999999999999	0.14	0.04
46	segments/	phoneme	s_E	1.0	0.0	2.0	33.932	33.932	5.119999999999999	0.18000000000000002	0.04
47	segments/	word	is	1.0	1.0		33.972	33.972	5.159999999999999	0.22	0.11
